Source,SpecimenID,Location,Day,Month,Year,A or B egg,Length (mm),Breadth (mm),Volume,Reference
RSPB,RSPB 39,Nightingale,24,9,2014,A,61.2,48.0,71.5,
RSPB,RSPB 17,Nightingale,23,9,2014,A,62.2,46.6,68.5,
RSPB,RSPB 16,Nightingale,23,9,2014,A,62.5,46.2,67.6,
RSPB,RSPB 64,Nightingale,24,9,2014,A,62.5,46.2,67.6,
RSPB,RSPB 87,Nightingale,25,9,2014,A,62.5,46.3,67.9,
RSPB,RSPB 76,Nightingale,25,9,2014,A,60.8,48.9,73.7,
RSPB,RSPB 9,Nightingale,23,9,2014,A,61.7,47.6,70.9,
RSPB,RSPB 220,Tristan,9,10,2014,A,60.9,48.9,73.8,
RSPB,RSPB 149,Tristan,13,10,2014,A,64.3,43.9,62.8,
RSPB,RSPB 23,Nightingale,23,9,2014,A,63.4,45.3,66.0,
RSPB,RSPB 92,Nightingale,25,9,2014,A,61.1,48.8,73.7,
RSPB,RSPB 22,Nightingale,23,9,2014,A,61.0,49.2,74.9,
RSPB,RSPB 35,Nightingale,24,9,2014,A,63.0,46.3,68.3,
RSPB,RSPB 124,Alex,26,9,2014,A,61.3,48.9,74.2,
RSPB,RSPB 82,Nightingale,25,9,2014,A,63.7,45.3,66.3,
RSPB,RSPB 196,Tristan,13,10,2014,A,62.5,47.2,70.6,
RSPB,RSPB 34,Nightingale,23,9,2014,A,63.2,46.2,68.4,
RSPB,RSPB 98,Alex,26,9,2014,A,61.0,49.7,76.4,
RSPB,RSPB 42,Nightingale,24,9,2014,A,62.0,48.3,73.3,
RSPB,RSPB 77,Nightingale,25,9,2014,A,64.3,45.0,65.9,
RSPB,RSPB 7,Nightingale,23,9,2014,A,63.0,46.9,70.3,
RSPB,RSPB 177,Tristan,13,10,2014,A,62.4,47.8,72.3,
RSPB,RSPB 105,Alex,26,9,2014,A,62.4,47.9,72.4,
RSPB,RSPB 31,Nightingale,23,9,2014,A,64.0,45.5,67.2,
RSPB,RSPB 46,Nightingale,24,9,2014,A,61.8,48.8,74.6,
RSPB,RSPB 65,Nightingale,24,9,2014,A,62.6,47.9,72.8,
RSPB,RSPB 262,Tristan,9,10,2014,A,64.1,45.7,67.9,
RSPB,RSPB 142,Tristan,13,10,2014,A,62.1,48.7,74.7,
RSPB,RSPB 132,Alex,26,9,2014,A,62.8,48.0,73.2,
RSPB,RSPB 130,Alex,26,9,2014,A,62.0,49.2,75.9,
RSPB,RSPB 151,Tristan,13,10,2014,A,63.2,47.4,72.0,
RSPB,RSPB 33,Nightingale,23,9,2014,A,62.0,49.4,76.7,
RSPB,RSPB 68,Nightingale,24,9,2014,A,63.6,47.2,71.7,
RSPB,RSPB 120,Alex,26,9,2014,A,63.1,47.9,73.4,
RSPB,RSPB 109,Alex,26,9,2014,A,61.3,50.6,79.6,
RSPB,RSPB 108,Alex,26,9,2014,A,63.8,47.1,71.5,
RSPB,RSPB 13,Nightingale,23,9,2014,A,63.4,47.8,73.4,
RSPB,RSPB 88,Nightingale,25,9,2014,A,62.7,48.8,75.7,
RSPB,RSPB 183,Tristan,13,10,2014,A,62.1,49.7,77.8,
RSPB,RSPB 197,Tristan,13,10,2014,A,63.4,47.8,73.4,
RSPB,RSPB 157,Tristan,13,10,2014,A,62.3,49.8,78.3,
RSPB,RSPB 173,Tristan,13,10,2014,A,62.6,49.4,77.5,
RSPB,RSPB 2,Nightingale,23,9,2014,A,62.3,49.9,78.6,
RSPB,RSPB 251,Tristan,9,10,2014,A,64.1,47.3,72.7,
RSPB,RSPB 107,Alex,26,9,2014,A,63.1,48.9,76.4,
RSPB,RSPB 208,Tristan,9,10,2014,A,63.0,49.0,76.7,
RSPB,RSPB 29,Nightingale,23,9,2014,A,62.2,50.3,79.6,
RSPB,RSPB 24,Nightingale,23,9,2014,A,62.4,50.1,79.3,
RSPB,RSPB 218,Tristan,9,10,2014,A,63.6,48.4,75.5,
RSPB,RSPB 175,Tristan,13,10,2014,A,62.6,49.9,79.0,
RSPB,RSPB 15,Nightingale,23,9,2014,A,62.9,49.6,78.4,
RSPB,RSPB 37,Nightingale,24,9,2014,A,63.3,49.0,76.9,
RSPB,RSPB 56,Nightingale,24,9,2014,A,63.0,49.5,78.3,
RSPB,RSPB 247,Tristan,9,10,2014,A,65.3,46.3,71.0,
RSPB,RSPB 4,Nightingale,23,9,2014,A,64.6,47.4,73.6,
RSPB,RSPB 67,Nightingale,24,9,2014,A,63.7,48.9,77.2,
RSPB,RSPB 26,Nightingale,23,9,2014,A,63.5,49.2,77.9,
RSPB,RSPB 81,Nightingale,25,9,2014,A,64.0,48.7,77.0,
RSPB,RSPB 129,Alex,26,9,2014,A,64.5,48.0,75.3,
RSPB,RSPB 155,Tristan,13,10,2014,A,63.3,49.8,79.6,
RSPB,RSPB 241,Tristan,9,10,2014,A,64.8,47.8,75.1,
RSPB,RSPB 243,Tristan,9,10,2014,A,64.2,48.7,77.2,
RSPB,RSPB 256,Tristan,9,10,2014,A,63.5,49.8,79.8,
RSPB,RSPB 91,Nightingale,25,9,2014,A,65.0,47.8,75.3,
RSPB,RSPB 187,Tristan,13,10,2014,A,64.0,49.7,80.1,
RSPB,RSPB 212,Tristan,9,10,2014,A,66.8,45.6,70.4,
RSPB,RSPB 5,Nightingale,23,9,2014,A,65.4,47.7,75.4,
RSPB,RSPB 191,Tristan,13,10,2014,A,64.4,49.2,79.0,
RSPB,RSPB 70,Nightingale,24,9,2014,A,66.0,47.0,73.8,
RSPB,RSPB 159,Tristan,13,10,2014,A,64.5,49.2,79.2,
RSPB,RSPB 99,Alex,26,9,2014,A,64.9,48.7,78.0,
RSPB,RSPB 55,Nightingale,24,9,2014,A,64.8,48.8,78.2,
RSPB,RSPB 106,Alex,26,9,2014,A,64.0,50.3,82.1,
RSPB,RSPB 203,Tristan,9,10,2014,A,64.7,49.3,79.7,
RSPB,RSPB 100,Alex,26,9,2014,A,64.7,49.4,79.9,
RSPB,RSPB 66,Nightingale,24,9,2014,A,65.5,48.3,77.5,
RSPB,RSPB 83,Nightingale,25,9,2014,A,63.9,50.7,83.3,
RSPB,RSPB 10,Nightingale,23,9,2014,A,65.8,48.0,76.7,
RSPB,RSPB 45,Nightingale,24,9,2014,A,64.8,50.0,81.9,
RSPB,RSPB 147,Tristan,13,10,2014,A,67.7,45.8,72.0,
RSPB,RSPB 25,Nightingale,23,9,2014,A,65.3,49.6,81.4,
RSPB,RSPB 38,Nightingale,24,9,2014,A,65.5,49.4,80.9,
RSPB,RSPB 72,Nightingale,25,9,2014,A,65.2,50.1,83.0,
RSPB,RSPB 169,Tristan,13,10,2014,A,65.5,50.1,83.4,
RSPB,RSPB 48,Nightingale,24,9,2014,A,65.6,50.1,83.3,
RSPB,RSPB 185,Tristan,13,10,2014,A,66.4,48.9,80.5,
RSPB,RSPB 41,Nightingale,24,9,2014,A,66.3,49.3,81.5,
RSPB,RSPB 113,Alex,26,9,2014,A,65.6,50.3,84.1,
RSPB,RSPB 193,Tristan,13,10,2014,A,65.5,50.8,85.7,
RSPB,RSPB 44,Nightingale,24,9,2014,A,60.9,57.8,102.9,
RSPB,RSPB 78,Nightingale,25,9,2014,A,68.4,46.7,75.6,
RSPB,RSPB 27,Nightingale,23,9,2014,A,66.2,50.0,83.9,
RSPB,RSPB 57,Nightingale,24,9,2014,A,65.9,50.5,85.2,
RSPB,RSPB 49,Nightingale,24,9,2014,A,66.5,49.7,83.2,
RSPB,RSPB 62,Nightingale,24,9,2014,A,67.3,48.6,80.4,
RSPB,RSPB 123,Alex,26,9,2014,A,67.6,48.3,80.0,
RSPB,RSPB 260,Tristan,9,10,2014,A,66.8,49.6,83.3,
RSPB,RSPB 43,Nightingale,24,9,2014,A,66.0,52.3,91.5,
RSPB,RSPB 215,Tristan,9,10,2014,A,67.6,50.0,85.7,
RSPB,RSPB 167,Tristan,13,10,2014,A,68.0,49.8,85.5,
RSPB,RSPB 71,Nightingale,24,9,2014,A,70.9,51.6,95.7,
RSPB,RSPB 121,Alex,26,9,2014,B,57.3,43.3,54.5,
RSPB,RSPB 73,Nightingale,25,9,2014,B,61.0,47.5,69.7,
RSPB,RSPB 140,Alex,26,9,2014,B,65.0,41.6,57.0,
RSPB,RSPB 135,Alex,26,9,2014,B,61.2,47.8,70.9,
RSPB,RSPB 95,Alex,26,9,2014,B,65.6,47.5,75.0,
RSPB,RSPB 141,Alex,26,9,2014,B,63.8,50.2,81.5,
RSPB,RSPB 112,Alex,26,9,2014,B,64.2,49.7,80.3,
RSPB,RSPB 18,Nightingale,23,9,2014,B,65.0,48.8,78.5,
RSPB,RSPB 14,Nightingale,23,9,2014,B,64.7,50.2,82.7,
RSPB,RSPB 6,Nightingale,23,9,2014,B,65.6,49.2,80.5,
RSPB,RSPB 152,Tristan,13,10,2014,B,64.2,51.8,87.3,
RSPB,RSPB 101,Alex,26,9,2014,B,65.8,49.7,82.3,
RSPB,RSPB 82,Nightingale,25,9,2014,B,66.4,49.0,80.8,
RSPB,RSPB 12,Nightingale,23,9,2014,B,65.3,51.0,86.1,
RSPB,RSPB 104,Alex,26,9,2014,B,65.5,50.9,85.8,
RSPB,RSPB 35,Nightingale,24,9,2014,B,66.9,49.3,82.4,
RSPB,RSPB 74,Nightingale,25,9,2014,B,66.0,50.7,86.0,
RSPB,RSPB 136,Alex,26,9,2014,B,65.6,51.5,88.1,
RSPB,RSPB 232,Tristan,9,10,2014,B,65.6,51.5,88.2,
RSPB,RSPB 58,Nightingale,24,9,2014,B,65.1,52.6,91.3,
RSPB,RSPB 11,Nightingale,23,9,2014,B,65.7,51.8,89.4,
RSPB,RSPB 60,Nightingale,24,9,2014,B,64.9,53.2,93.1,
RSPB,RSPB 226,Tristan,9,10,2014,B,65.5,52.4,91.2,
RSPB,RSPB 139,Alex,26,9,2014,B,65.5,52.5,91.5,
RSPB,RSPB 53,Nightingale,24,9,2014,B,65.0,53.2,93.3,
RSPB,RSPB 102,Alex,26,9,2014,B,68.9,47.7,79.4,
RSPB,RSPB 96,Alex,26,9,2014,B,68.5,48.3,80.9,
RSPB,RSPB 77,Nightingale,25,9,2014,B,73.9,40.4,61.2,
RSPB,RSPB 54,Nightingale,24,9,2014,B,66.5,51.5,89.4,
RSPB,RSPB 240,Tristan,9,10,2014,B,67.8,49.8,85.3,
RSPB,RSPB 88,Nightingale,25,9,2014,B,66.9,51.3,89.2,
RSPB,RSPB 19,Nightingale,23,9,2014,B,67.4,50.7,87.7,
RSPB,RSPB 122,Alex,26,9,2014,B,65.9,52.9,93.5,
RSPB,RSPB 8,Nightingale,23,9,2014,B,68.6,49.3,84.3,
RSPB,RSPB 93,Nightingale,25,9,2014,B,65.8,53.6,95.7,
RSPB,RSPB 32,Nightingale,23,9,2014,B,65.3,54.4,98.0,
RSPB,RSPB 51,Nightingale,24,9,2014,B,66.5,52.7,93.6,
RSPB,RSPB 64,Nightingale,24,9,2014,B,66.8,52.5,93.3,
RSPB,RSPB 172,Tristan,13,10,2014,B,66.9,52.4,93.1,
RSPB,RSPB 178,Tristan,13,10,2014,B,66.9,52.4,93.1,
RSPB,RSPB 13,Nightingale,23,9,2014,B,65.9,53.9,97.1,
RSPB,RSPB 124,Alex,26,9,2014,B,66.6,53.0,94.8,
RSPB,RSPB 20,Nightingale,23,9,2014,B,67.3,52.4,93.6,
RSPB,RSPB 28,Nightingale,23,9,2014,B,67.2,52.7,94.6,
RSPB,RSPB 162,Tristan,13,10,2014,B,66.6,53.7,97.4,
RSPB,RSPB 250,Tristan,9,10,2014,B,69.2,50.0,87.7,
RSPB,RSPB 36,Nightingale,24,9,2014,B,67.4,52.9,95.6,
RSPB,RSPB 3,Nightingale,23,9,2014,B,67.8,52.5,94.7,
RSPB,RSPB 252,Tristan,9,10,2014,B,68.5,51.5,92.1,
RSPB,RSPB 47,Nightingale,24,9,2014,B,67.9,52.5,94.8,
RSPB,RSPB 244,Tristan,9,10,2014,B,67.6,53.2,97.0,
RSPB,RSPB 107,Alex,26,9,2014,B,67.7,53.1,96.8,
RSPB,RSPB 200,Tristan,13,10,2014,B,67.7,53.2,97.1,
RSPB,RSPB 89,Nightingale,25,9,2014,B,69.1,51.3,92.0,
RSPB,RSPB 80,Nightingale,25,9,2014,B,67.8,53.2,97.3,
RSPB,RSPB 63,Nightingale,24,9,2014,B,68.2,52.7,96.0,
RSPB,RSPB 164,Tristan,13,10,2014,B,69.1,51.4,92.6,
RSPB,RSPB 230,Tristan,9,10,2014,B,67.8,53.4,98.0,
RSPB,RSPB 30,Nightingale,23,9,2014,B,67.1,54.6,101.4,
RSPB,RSPB 242,Tristan,9,10,2014,B,68.0,53.4,98.3,
RSPB,RSPB 103,Alex,26,9,2014,B,70.3,50.0,89.1,
RSPB,RSPB 228,Tristan,9,10,2014,B,68.7,52.4,95.6,
RSPB,RSPB 97,Alex,26,9,2014,B,67.9,53.6,98.9,
RSPB,RSPB 2,Nightingale,23,9,2014,B,67.4,54.4,100.9,
RSPB,RSPB 211,Tristan,9,10,2014,B,67.6,54.1,100.3,
RSPB,RSPB 10,Nightingale,23,9,2014,B,67.7,54.3,100.9,
RSPB,RSPB 128,Alex,26,9,2014,B,68.8,52.6,96.3,
RSPB,RSPB 166,Tristan,13,10,2014,B,68.0,53.9,100.2,
RSPB,RSPB 50,Nightingale,24,9,2014,B,67.8,54.2,101.0,
RSPB,RSPB 5,Nightingale,23,9,2014,B,68.3,53.6,99.2,
RSPB,RSPB 181,Tristan,13,10,2014,B,68.3,53.5,99.1,
RSPB,RSPB 46,Nightingale,24,9,2014,B,67.9,54.1,100.8,
RSPB,RSPB 148,Tristan,13,10,2014,B,69.8,51.3,93.1,
RSPB,RSPB 69,Nightingale,24,9,2014,B,67.9,54.2,101.1,
RSPB,RSPB 92,Nightingale,25,9,2014,B,67.9,54.2,101.1,
RSPB,RSPB 26,Nightingale,23,9,2014,B,68.3,53.7,99.8,
RSPB,RSPB 79,Nightingale,25,9,2014,B,69.0,52.6,96.8,
RSPB,RSPB 16,Nightingale,23,9,2014,B,68.5,53.6,99.8,
RSPB,RSPB 223,Tristan,9,10,2014,B,68.4,53.8,100.4,
RSPB,RSPB 1,Nightingale,23,9,2014,B,68.7,53.4,99.3,
RSPB,RSPB 86,Nightingale,25,9,2014,B,70.6,50.7,91.8,
RSPB,RSPB 236,Tristan,9,10,2014,B,69.2,52.7,97.4,
RSPB,RSPB 105,Alex,26,9,2014,B,68.8,53.3,99.1,
RSPB,RSPB 49,Nightingale,24,9,2014,B,69.0,53.1,98.5,
RSPB,RSPB 160,Tristan,13,10,2014,B,68.4,54.1,101.5,
RSPB,RSPB 213,Tristan,9,10,2014,B,70.1,51.6,94.6,
RSPB,RSPB 133,Alex,26,9,2014,B,68.7,53.7,100.4,
RSPB,RSPB 27,Nightingale,23,9,2014,B,68.5,54.1,101.6,
RSPB,RSPB 238,Tristan,9,10,2014,B,69.4,52.8,98.1,
RSPB,RSPB 265,Tristan,9,10,2014,B,68.5,54.3,102.4,
RSPB,RSPB 4,Nightingale,23,9,2014,B,69.5,52.9,98.4,
RSPB,RSPB 130,Alex,26,9,2014,B,67.9,55.3,105.3,
RSPB,RSPB 52,Nightingale,24,9,2014,B,68.8,54.0,101.7,
RSPB,RSPB 84,Nightingale,25,9,2014,B,68.8,54.0,101.7,
RSPB,RSPB 29,Nightingale,23,9,2014,B,67.6,56.0,107.2,
RSPB,RSPB 158,Tristan,13,10,2014,B,67.9,55.6,106.4,
RSPB,RSPB 87,Nightingale,25,9,2014,B,70.0,52.5,97.8,
RSPB,RSPB 125,Alex,26,9,2014,B,69.6,53.2,99.8,
RSPB,RSPB 59,Nightingale,24,9,2014,B,68.7,54.7,104.2,
RSPB,RSPB 24,Nightingale,23,9,2014,B,68.3,55.4,106.1,
RSPB,RSPB 246,Tristan,9,10,2014,B,68.7,54.8,104.6,
RSPB,RSPB 134,Alex,26,9,2014,B,70.0,52.9,99.3,
RSPB,RSPB 108,Alex,26,9,2014,B,69.7,53.4,100.6,
RSPB,RSPB 85,Nightingale,25,9,2014,B,69.7,53.5,101.1,
RSPB,RSPB 176,Tristan,13,10,2014,B,69.5,53.8,102.0,
RSPB,RSPB 119,Alex,26,9,2014,B,68.7,55.0,105.4,
RSPB,RSPB 94,Alex,26,9,2014,B,69.7,53.6,101.5,
RSPB,RSPB 174,Tristan,13,10,2014,B,69.3,54.2,103.2,
RSPB,RSPB 39,Nightingale,24,9,2014,B,69.1,54.7,104.7,
RSPB,RSPB 263,Tristan,9,10,2014,B,71.4,51.4,95.6,
RSPB,RSPB 202,Tristan,13,10,2014,B,70.7,52.5,98.8,
RSPB,RSPB 131,Alex,26,9,2014,B,70.3,53.1,100.5,
RSPB,RSPB 17,Nightingale,23,9,2014,B,70.3,53.2,100.7,
RSPB,RSPB 255,Tristan,9,10,2014,B,71.4,51.6,96.4,
RSPB,RSPB 40,Nightingale,24,9,2014,B,70.0,53.7,102.3,
RSPB,RSPB 91,Nightingale,25,9,2014,B,69.9,53.9,102.8,
RSPB,RSPB 75,Nightingale,25,9,2014,B,70.4,53.3,101.2,
RSPB,RSPB 150,Tristan,13,10,2014,B,72.6,50.0,92.0,
RSPB,RSPB 21,Nightingale,23,9,2014,B,70.0,53.9,103.1,
RSPB,RSPB 259,Tristan,9,10,2014,B,69.2,55.1,106.5,
RSPB,RSPB 42,Nightingale,24,9,2014,B,70.6,53.1,100.9,
RSPB,RSPB 65,Nightingale,24,9,2014,B,70.0,54.0,103.5,
RSPB,RSPB 99,Alex,26,9,2014,B,69.8,54.4,104.5,
RSPB,RSPB 184,Tristan,13,10,2014,B,68.9,55.7,108.4,
RSPB,RSPB 248,Tristan,9,10,2014,B,71.1,52.5,99.4,
RSPB,RSPB 83,Nightingale,25,9,2014,B,68.9,55.9,109.2,
RSPB,RSPB 37,Nightingale,24,9,2014,B,69.5,55.1,106.9,
RSPB,RSPB 109,Alex,26,9,2014,B,68.7,56.3,110.4,
RSPB,RSPB 216,Tristan,9,10,2014,B,71.0,52.9,100.7,
RSPB,RSPB 209,Tristan,9,10,2014,B,69.6,55.0,106.7,
RSPB,RSPB 100,Alex,26,9,2014,B,70.3,54.0,103.9,
RSPB,RSPB 70,Nightingale,24,9,2014,B,70.8,53.4,102.2,
RSPB,RSPB 145,Tristan,13,10,2014,B,71.5,52.4,99.5,
RSPB,RSPB 234,Tristan,9,10,2014,B,71.4,52.7,100.5,
RSPB,RSPB 207,Tristan,9,10,2014,B,70.5,54.1,104.6,
RSPB,RSPB 257,Tristan,9,10,2014,B,69.4,55.8,109.6,
RSPB,RSPB 68,Nightingale,24,9,2014,B,70.9,53.7,103.5,
RSPB,RSPB 111,Alex,26,9,2014,B,71.7,52.5,100.2,
RSPB,RSPB 22,Nightingale,23,9,2014,B,70.0,55.1,107.6,
RSPB,RSPB 25,Nightingale,23,9,2014,B,69.8,55.5,108.8,
RSPB,RSPB 9,Nightingale,23,9,2014,B,71.3,53.4,103.1,
RSPB,RSPB 182,Tristan,13,10,2014,B,70.7,54.3,105.7,
RSPB,RSPB 267,Tristan,9,10,2014,B,71.1,53.8,104.3,
RSPB,RSPB 98,Alex,26,9,2014,B,68.8,57.6,115.6,
RSPB,RSPB 33,Nightingale,23,9,2014,B,70.0,55.9,110.8,
RSPB,RSPB 120,Alex,26,9,2014,B,71.6,53.5,103.9,
RSPB,RSPB 195,Tristan,13,10,2014,B,71.3,54.0,105.4,
RSPB,RSPB 56,Nightingale,24,9,2014,B,70.9,54.7,107.4,
RSPB,RSPB 67,Nightingale,24,9,2014,B,70.5,55.3,109.3,
RSPB,RSPB 76,Nightingale,25,9,2014,B,70.2,55.9,111.2,
RSPB,RSPB 186,Tristan,13,10,2014,B,71.7,53.7,104.8,
RSPB,RSPB 15,Nightingale,23,9,2014,B,70.9,55.0,108.7,
RSPB,RSPB 106,Alex,26,9,2014,B,70.7,55.6,110.7,
RSPB,RSPB 123,Alex,26,9,2014,B,72.0,53.6,104.9,
RSPB,RSPB 154,Tristan,13,10,2014,B,72.1,53.5,104.6,
RSPB,RSPB 156,Tristan,13,10,2014,B,70.1,56.5,113.5,
RSPB,RSPB 90,Nightingale,25,9,2014,B,72.2,53.6,105.0,
RSPB,RSPB 110,Alex,26,9,2014,B,71.9,54.0,106.3,
RSPB,RSPB 23,Nightingale,23,9,2014,B,73.0,52.6,102.4,
RSPB,RSPB 221,Tristan,9,10,2014,B,71.8,54.5,108.1,
RSPB,RSPB 204,Tristan,9,10,2014,B,71.1,55.6,111.4,
RSPB,RSPB 34,Nightingale,23,9,2014,B,72.9,53.0,103.8,
RSPB,RSPB 72,Nightingale,25,9,2014,B,70.4,56.8,115.2,
RSPB,RSPB 41,Nightingale,24,9,2014,B,71.6,55.1,110.1,
RSPB,RSPB 138,Alex,26,9,2014,B,72.1,54.4,108.0,
RSPB,RSPB 31,Nightingale,23,9,2014,B,74.4,51.2,98.8,
RSPB,RSPB 127,Alex,26,9,2014,B,72.6,54.0,107.3,
RSPB,RSPB 62,Nightingale,24,9,2014,B,72.4,54.4,108.6,
RSPB,RSPB 38,Nightingale,24,9,2014,B,71.5,55.8,112.7,
RSPB,RSPB 81,Nightingale,25,9,2014,B,71.9,55.6,112.6,
RSPB,RSPB 7,Nightingale,23,9,2014,B,74.2,52.2,102.3,
RSPB,RSPB 219,Tristan,9,10,2014,B,72.7,54.5,109.5,
RSPB,RSPB 44,Nightingale,24,9,2014,B,70.3,58.2,120.4,
RSPB,RSPB 194,Tristan,13,10,2014,B,71.9,55.7,113.1,
RSPB,RSPB 43,Nightingale,24,9,2014,B,71.2,57.0,117.1,
RSPB,RSPB 66,Nightingale,24,9,2014,B,73.8,53.3,106.1,
RSPB,RSPB 126,Alex,26,9,2014,B,73.2,54.3,109.4,
RSPB,RSPB 129,Alex,26,9,2014,B,72.5,55.6,113.4,
RSPB,RSPB 113,Alex,26,9,2014,B,73.2,54.6,110.6,
RSPB,RSPB 48,Nightingale,24,9,2014,B,72.7,55.5,113.5,
RSPB,RSPB 57,Nightingale,24,9,2014,B,72.6,55.7,114.0,
RSPB,RSPB 170,Tristan,13,10,2014,B,72.4,56.1,115.5,
RSPB,RSPB 78,Nightingale,25,9,2014,B,75.6,51.7,102.4,
RSPB,RSPB 55,Nightingale,24,9,2014,B,73.9,54.4,110.6,
RSPB,RSPB 190,Tristan,13,10,2014,B,73.2,56.3,117.6,
RSPB,RSPB 143,Tristan,13,10,2014,B,73.9,55.5,115.4,
RSPB,RSPB 45,Nightingale,24,9,2014,B,73.5,56.1,117.3,
RSPB,RSPB 192,Tristan,13,10,2014,B,74.4,55.7,117.0,
RSPB,RSPB 168,Tristan,13,10,2014,B,75.1,54.7,113.9,
RSPB,RSPB 188,Tristan,13,10,2014,B,75.7,54.9,115.7,
RSPB,RSPB 198,Tristan,13,10,2014,B,74.5,56.8,121.9,
RSPB,RSPB 137,Alex,26,9,2014,B,76.5,55.6,119.9,
RSPB,RSPB 261,Tristan,9,10,2014,B,76.0,56.4,122.6,
RSPB,RSPB 71,Nightingale,24,9,2014,B,76.5,55.8,120.8,
RSPB,RSPB 61,Nightingale,24,9,2014,B,77.9,56.3,125.1,
RSPB,RSPB 132,Alex,26,9,2014,B,86.5,58.3,148.8,
RSPB,RSPB 253,Tristan,9,10,2014,U,66.6,49.8,83.7,
RSPB,RSPB 214,Tristan,9,10,2014,U,69.6,52.2,96.2,
RSPB,RSPB 217,Tristan,9,10,2014,U,71.5,54.7,108.5,
RSPB,RSPB 146,Tristan,13,10,2014,U,72.3,55.7,113.7,
RSPB,RSPB 224,Tristan,9,10,2014,U,75.0,53.6,109.2,
RSPB,RSPB 205,Tristan,9,10,2014,U,73.6,57.1,121.7,
UCT-RSPB,Gough 86,Gough,10,9,2013,A,56.3,46.9,62.8,
UCT-RSPB,Gough 71,Gough,10,9,2013,A,57.6,47.3,65.3,
UCT-RSPB,Gough 48,Gough,10,9,2013,A,58.8,46.7,65.0,
UCT-RSPB,Gough 37,Gough,10,9,2013,A,58.3,48.3,69.0,
UCT-RSPB,Gough 73,Gough,10,9,2013,A,58.6,47.9,68.2,
UCT-RSPB,Gough 85,Gough,10,9,2013,A,60.4,45.6,63.7,
UCT-RSPB,Gough 99,Gough,10,9,2013,A,59.8,46.5,65.6,
UCT-RSPB,Gough 77,Gough,10,9,2013,A,58.9,48.2,69.4,
UCT-RSPB,Gough 68,Gough,10,9,2013,A,59.9,47.0,67.1,
UCT-RSPB,Gough 12,Gough,10,9,2013,A,61.2,45.1,63.1,
UCT-RSPB,Gough 97,Gough,10,9,2013,A,59.4,47.8,68.8,
UCT-RSPB,Gough 82,Gough,10,9,2013,A,60.0,47.2,67.8,
UCT-RSPB,Gough 5,Gough,10,9,2013,A,60.4,47.1,67.9,
UCT-RSPB,Gough 70,Gough,10,9,2013,A,62.1,44.6,62.6,
UCT-RSPB,Gough 65,Gough,10,9,2013,A,60.5,47.1,68.0,
UCT-RSPB,Gough 61,Gough,10,9,2013,A,60.0,47.9,69.8,
UCT-RSPB,Gough 91,Gough,10,9,2013,A,61.1,46.6,67.3,
UCT-RSPB,Gough 24,Gough,10,9,2013,A,60.7,47.3,68.9,
UCT-RSPB,Gough 81,Gough,10,9,2013,A,60.6,47.6,69.6,
UCT-RSPB,Gough 72,Gough,10,9,2013,A,61.6,46.4,67.2,
UCT-RSPB,Gough 83,Gough,10,9,2013,A,60.2,48.5,71.8,
UCT-RSPB,Gough 51,Gough,10,9,2013,A,63.6,43.8,61.9,
UCT-RSPB,Gough 35,Gough,10,9,2013,A,61.3,47.5,70.1,
UCT-RSPB,Gough 33,Gough,10,9,2013,A,60.5,48.9,73.3,
UCT-RSPB,Gough 84,Gough,10,9,2013,A,60.5,48.9,73.3,
UCT-RSPB,Gough 10,Gough,10,9,2013,A,61.0,48.5,72.7,
UCT-RSPB,Gough 13,Gough,10,9,2013,A,61.7,48.0,72.1,
UCT-RSPB,Gough 98,Gough,10,9,2013,A,62.5,47.0,70.0,
UCT-RSPB,Gough 32,Gough,10,9,2013,A,61.1,49.1,74.7,
UCT-RSPB,Gough 30,Gough,10,9,2013,A,61.6,49.0,75.0,
UCT-RSPB,Gough 57,Gough,10,9,2013,A,64.1,45.6,67.6,
UCT-RSPB,Gough 47,Gough,10,9,2013,A,62.4,48.2,73.5,
UCT-RSPB,Gough 8,Gough,10,9,2013,A,62.2,48.5,74.2,
UCT-RSPB,Gough 44,Gough,10,9,2013,A,61.2,50.0,77.6,
UCT-RSPB,Gough 14,Gough,10,9,2013,A,62.5,48.1,73.3,
UCT-RSPB,Gough 3,Gough,10,9,2013,A,62.7,48.1,73.5,
UCT-RSPB,Gough 76,Gough,10,9,2013,A,62.0,49.2,76.1,
UCT-RSPB,Gough 45,Gough,10,9,2013,A,62.3,49.1,76.1,
UCT-RSPB,Gough 42,Gough,10,9,2013,A,61.7,50.2,78.8,
UCT-RSPB,Gough 17,Gough,10,9,2013,A,62.2,49.5,77.3,
UCT-RSPB,Gough 93,Gough,10,9,2013,A,63.4,47.8,73.4,
UCT-RSPB,Gough 16,Gough,10,9,2013,A,61.6,50.5,79.6,
UCT-RSPB,Gough 74,Gough,10,9,2013,A,62.7,48.9,76.0,
UCT-RSPB,Gough 40,Gough,10,9,2013,A,63.4,48.0,74.1,
UCT-RSPB,Gough 100,Gough,10,9,2013,A,63.0,48.6,75.4,
UCT-RSPB,Gough 60,Gough,10,9,2013,A,61.8,50.4,79.6,
UCT-RSPB,Gough 39,Gough,10,9,2013,A,61.9,50.8,81.0,
UCT-RSPB,Gough 92,Gough,10,9,2013,A,63.9,47.9,74.3,
UCT-RSPB,Gough 28,Gough,10,9,2013,A,62.9,49.4,77.8,
